pair_id,researcher_id,researcher_name,researcher_domain,researcher_keywords,researcher_source,grant_id,grant_title,grant_abstract,grant_funder,grant_amount_gbp,grant_domain,grant_source,overlap_score,label
PAIR_0128,0107EC77-84F3-4182-B8B2-AD73ED7E4BB0,Michelle McKinley,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/0107EC77-84F3-4182-B8B2-AD73ED7E4BB0,CAABF5E9-4CBF-4460-9F40-00675247F686,Genome-wide association mapping and landscape scale modelling of heritable ionomic diversity in Arabidopsis thaliana populations,"The proposed research utilizes genetic approaches to identify the genes that control the way plants take up mineral nutrient found in fertilizers such as potassium and phosphorus and potential toxic substances such as sodium (for the plant), and arsenic and cadmium (for humans that eat the plants). By understanding how different forms of the genes we discover are used by plants to allow them to gr",Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=CAABF5E9-4CBF-4460-9F40-00675247F686,0.0556,Average Fit
PAIR_0147,014CFEB2-3043-440B-973B-8ABD8974DBF3,Kenneth Carslaw,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/014CFEB2-3043-440B-973B-8ABD8974DBF3,987326A2-A4D9-4EAD-9557-00BE64B9C61A,WOOL to TURF,"Every year in the UK, sheep farmers shear millions of sheep, producing high-quality wool for textiles but also large amounts of low-grade wool with seemingly no use. This includes &quot;dag wool,&quot; contaminated with dirt and waste, and very short fibres that cannot be spun into yarn. Around 4,000 tonnes of this material is produced annually, most of it with little or no value. Farmers often bu",Collaborative R&D,0,Climate & Environment,https://gtr.ukri.org/projects?ref=987326A2-A4D9-4EAD-9557-00BE64B9C61A,0.0556,Average Fit
PAIR_0092,0003D44F-1FBB-4D63-BDE2-E11D0B191A78,Anjam Khan,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/0003D44F-1FBB-4D63-BDE2-E11D0B191A78,A34392A7-55D1-4892-8EBE-01DAA74F7882,Longitudinal structural and cognitive functional imaging and outcome prediction in focal epilepsy treated with gene therapy and surgical resection.,"Background:
In people whose epilepsy does not respond to epilepsy medications (drug refractory epilepsy), epilepsy surgery to remove the part of the brain where seizures arise (the epileptic zone), may be an option. One of the most serious complications of epilepsy surgery is memory and language decline if critical brain areas are removed during surgery. This affects quality of life after surgery ",Research Grant,0,Biomedical & Health,https://gtr.ukri.org/projects?ref=A34392A7-55D1-4892-8EBE-01DAA74F7882,0.2857,Good Fit
PAIR_0079,002398B2-6E97-4D5A-BD3B-D195463D7AE2,Nicola Festuccia,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/002398B2-6E97-4D5A-BD3B-D195463D7AE2,B63BDE23-4706-4A3F-AF79-019BD32E21C4,GeoNutrition - tackling hidden hunger in Sub-Saharan Africa,"Mineral Micronutrient Deficiencies (MNDs) are widespread in sub-Saharan Africa (SSA). MNDs (a.k.a. hidden hunger) have a major detrimental effect on human health which constrains economic growth and efforts to alleviate poverty. Alleviating MNDs is a major component of the second Sustainable Development Goal (SDG2), to &quot;End hunger, achieve food security and improved nutrition and promote sust",Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=B63BDE23-4706-4A3F-AF79-019BD32E21C4,0.1429,Good Fit
PAIR_0120,00F321B5-04E7-4C82-BA1A-93F5FAC79B20,Christopher Petkov,Biology & Life Sciences,"biology, genetics, cell, molecular, microbiology, neuroscience",https://gtr.ukri.org/person/00F321B5-04E7-4C82-BA1A-93F5FAC79B20,07828D21-A20E-4368-9D88-015A30686E6F,Role of avian dendritic cells,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Institute Project,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=07828D21-A20E-4368-9D88-015A30686E6F,0.0556,Average Fit
PAIR_0136,00122ACF-107C-4C9D-A646-FD492352D7D0,Simon Beddows,Engineering & Physics,"engineering, materials, nanotechnology, quantum, photonics, semiconductor",https://gtr.ukri.org/person/00122ACF-107C-4C9D-A646-FD492352D7D0,C0886E63-3ADF-4DD7-8EDD-01D83EA345A2,The Global Methane Budget,"Methane is the second most important greenhouse gas contributing to human-induced global warming. Atmospheric methane concentrations have increased sharply since 2007, and dramatically in 2014, for reasons that are not understood. 

The overall increase since 2007 is comparable to the largest growth events over the past 1000 years. The recent rises have occurred worldwide, but after an Arctic puls",Research Grant,0,Climate & Environment,https://gtr.ukri.org/projects?ref=C0886E63-3ADF-4DD7-8EDD-01D83EA345A2,0.0,Average Fit
PAIR_0041,002398B2-6E97-4D5A-BD3B-D195463D7AE2,Nicola Festuccia,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/002398B2-6E97-4D5A-BD3B-D195463D7AE2,BBAD08CB-426F-4ED0-8C04-00981DAE0912,INNATE Investigating the nature and origins of exoplanets in the Neptunian desert,"Our knowledge of exoplanets has undergone a step change since the discovery of 51 Peg b 25 years ago. Planets are now commonplace, with most stars found to be hosting planetary systems. In the set of over 4300 planets known, trends and gaps in the distribution are seen with respect to planet size, composition and host star properties, arising from the formation and evolution processes which sculpt",Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=BBAD08CB-426F-4ED0-8C04-00981DAE0912,0.0714,Good Fit
PAIR_0144,0045DBDF-966E-46AB-9209-D8F9CBE4B1FC,Maria Appleyard,Social Sciences,"social, inequality, education, poverty, policy, community",https://gtr.ukri.org/person/0045DBDF-966E-46AB-9209-D8F9CBE4B1FC,007662E8-5AFF-497A-A1FD-00246571593F,Probing the structure and function of a super-rogue photosystem II complex involved in chlorophyll f synthesis,There is an urgent need to develop new strategies to improve crop yield to feed the ever-growing global population. Crop plants grow because they use the energy of sunlight to drive the conversion of atmospheric carbon dioxide into biomass. This process of photosynthesis is relatively inefficient with much less than 1% of the incident solar energy converted into stored chemical energy. One straigh,Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=007662E8-5AFF-497A-A1FD-00246571593F,0.0,Average Fit
PAIR_0145,06958A48-8D6D-4E9C-B204-570E76AB3CAA,Pat Doyle,Cybersecurity & Computing,"cybersecurity, security, encryption, network, privacy, blockchain",https://gtr.ukri.org/person/06958A48-8D6D-4E9C-B204-570E76AB3CAA,A9086373-AA79-4F10-9743-005D1737539F,Battery and BMS Certification Pilot (BBCP),"In regions like Asia, notably India, electric bus OEMs grapple with battery pack challenges due to scorching climates, where temperatures often exceed 40&deg;C for over half the year. This leads to premature battery replacement, despite buses being designed to last 12 years. Faraday Battery (FaradayB) aims to combat this by developing a pilot battery pack operable from -20&deg;C to 50&deg;C, tailo",Collaborative R&D,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=A9086373-AA79-4F10-9743-005D1737539F,0.0,Average Fit
PAIR_0248,0107EC77-84F3-4182-B8B2-AD73ED7E4BB0,Michelle McKinley,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/0107EC77-84F3-4182-B8B2-AD73ED7E4BB0,C4C0FE34-99A7-4628-BE09-012EC86C559A,SUPERGEN: Delivery of Sustainable Hydrogen,"We seek to deliver new technologies capable of clean and cost-effective conversion of low-carbon electricity and various carbon sources, including biomass and waste, into hydrogen. We have set up a consortium to address this target involving 14 University research groups. This will achieve significant critical mass and provide a proactive consortium, well linked to a range of industrial actors, to",Research Grant,0,Climate & Environment,https://gtr.ukri.org/projects?ref=C4C0FE34-99A7-4628-BE09-012EC86C559A,0.0,Bad Fit
PAIR_0196,064AF9D4-C0EA-47C5-AAC2-BD5AD0407FCB,Jane Parker,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/064AF9D4-C0EA-47C5-AAC2-BD5AD0407FCB,BFBBAC21-1735-42FA-A8C4-0067E0E2EC5E,SA-ISO and CREST certification,"We are a specialist IT/Data Security &amp; Compliance company with many years of direct security experience and industry relevant qualifications, providing a niche service offering to forward thinking businesses. We specialise in the following services:Penetration Testing (Ethical hacking)Cybersecurity Consultancy3rd Party Audit and Due DiligenceWebsite SecurityApplication/Software SecurityNetwork",Vouchers,0,Cybersecurity & Computing,https://gtr.ukri.org/projects?ref=BFBBAC21-1735-42FA-A8C4-0067E0E2EC5E,0.0,Average Fit
PAIR_0287,00DD045C-4D5B-4C92-9996-2E487F5AFD95,David Littlewood,Cybersecurity & Computing,"cybersecurity, security, encryption, network, privacy, blockchain",https://gtr.ukri.org/person/00DD045C-4D5B-4C92-9996-2E487F5AFD95,99B8254B-67C7-4F3E-852F-0105C5BC98C0,Determining the persister populations in sputum during tuberculosis therapy. A supplementary study to the RIFASHORT trial.,"Nearly ten million people developed TB in 2014 and 1.5 million died. Although drug resistance is a serious problem, the vast majority of infections are treatable with standard antibiotics effective against the TB bacterium, known as Mtb, which causes this devastating disease. 
Treatment of TB currently requires patients to take antibiotics for 6 months. Even after this the disease returns in up to",Research Grant,0,Biomedical & Health,https://gtr.ukri.org/projects?ref=99B8254B-67C7-4F3E-852F-0105C5BC98C0,0.0,Bad Fit
PAIR_0151,014CFEB2-3043-440B-973B-8ABD8974DBF3,Kenneth Carslaw,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/014CFEB2-3043-440B-973B-8ABD8974DBF3,BB525BE1-6080-4537-A3E0-00E0849BD0BA,Development of Smart Hydrogel Oscillators,"Smart hydrogels have become a popular area of research which covers everything from temperature and pH stimulated gel-based systems [1] to more complex fields such as biomimetic [2] and electrochemical systems [3]. Research on these systems has reinforced the core concept that the ability of these systems to swell and absorb fluids while retaining their structure [4], followed by, the subsequent c",Studentship,0,Engineering & Physics,https://gtr.ukri.org/projects?ref=BB525BE1-6080-4537-A3E0-00E0849BD0BA,0.0556,Average Fit
PAIR_0231,008605AC-4E7A-4CEE-B1FD-0203BCF68AC8,Alan Bowman,Climate & Environment,"climate, carbon, greenhouse, sustainability, renewable, net zero",https://gtr.ukri.org/person/008605AC-4E7A-4CEE-B1FD-0203BCF68AC8,C4BF8CA8-B3FB-4979-BDC9-01A924BB69FC,Entropic Stabilization of Hybrid Perovskites,"Hybrid perovskites have revolutionized solar research in the past decade. Materials such as MAPI (CH3NH3PbI3) can act as absorber and is also able to separate charge over large distances, and power conversion efficiencies have risen beyond 20% as a result of this. One of the concerns that has troubled researchers is the degradation of the materials in the presence of water via transfer of the meth",Studentship,0,Engineering & Physics,https://gtr.ukri.org/projects?ref=C4BF8CA8-B3FB-4979-BDC9-01A924BB69FC,0.0,Bad Fit
PAIR_0009,00AF0809-D14D-4147-BE92-6FC2CF313B28,Peter Keightley,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/00AF0809-D14D-4147-BE92-6FC2CF313B28,0D4FB24F-91B7-400B-BAD1-01BB249985A1,De Montfort University And 4G Design Limited,"To develop and embed new approaches to sustainable design in retail fixturing, presenting validated quantifiable benefits of the commercial impact of new designs and materials.",Knowledge Transfer Partnership,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=0D4FB24F-91B7-400B-BAD1-01BB249985A1,0.0714,Good Fit
PAIR_0072,01222E1F-13BA-40DE-A5AB-251A80992C3C,Edward Codling,Cybersecurity & Computing,"cybersecurity, security, encryption, network, privacy, blockchain",https://gtr.ukri.org/person/01222E1F-13BA-40DE-A5AB-251A80992C3C,12B7286D-A22B-4BD2-8149-0141D1189569,Geographical Information System e-Science: developing a roadmap,"Over recent years the range of electronic data sources of potential interest to arts and humanities scholars has proliferated at a dramatic pace. Both the sheer volume of cultural heritage content has increased, as has the multimedia nature of these materials. In the past e-resources were generally restricted to electronic texts whether qualitative or quantitative. Now a plethora of material in a ",Research Grant,0,Cybersecurity & Computing,https://gtr.ukri.org/projects?ref=12B7286D-A22B-4BD2-8149-0141D1189569,0.2667,Good Fit
PAIR_0035,009A36C7-DBA2-40E0-9F7C-D03301FF9E2D,David Shanks,Engineering & Physics,"engineering, materials, nanotechnology, quantum, photonics, semiconductor",https://gtr.ukri.org/person/009A36C7-DBA2-40E0-9F7C-D03301FF9E2D,BF6A5872-1349-4F0C-98F8-0096CA41ECCA,Application of machine learning in molecular materials discovery,"This project will investigate the use of machine learning, in particular neural networks, for the discovery of new molecular materials. This will focus on porous molecular materials, investigating their formation reactions and properties for separation applications. It will also investigate other organic molecular materials, such as organic molecules for water splitting and hole transport material",Studentship,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=BF6A5872-1349-4F0C-98F8-0096CA41ECCA,0.0625,Good Fit
PAIR_0276,01103B71-79AE-4060-AFAD-291F3A9F8ECE,Yonghong Peng,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/01103B71-79AE-4060-AFAD-291F3A9F8ECE,0525139E-02B2-4AEB-A8FF-00A621E82482,Designing and exploring new quantum materials based on Fermi surface topological transitions,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Research Grant,0,Engineering & Physics,https://gtr.ukri.org/projects?ref=0525139E-02B2-4AEB-A8FF-00A621E82482,0.0,Bad Fit
PAIR_0084,00549524-FBFA-487B-BCFD-5E09C2330D59,Luc Bussiere,Biology & Life Sciences,"biology, genetics, cell, molecular, microbiology, neuroscience",https://gtr.ukri.org/person/00549524-FBFA-487B-BCFD-5E09C2330D59,9CA4E0B4-2108-4C3A-923F-00B1E984E05F,Exploring interventions to maintain and prolong healthy skin function for an ageing population,"Life expectancy globally and in the UK has increased and this brings many health-related challenges, including how best to support and maintain health in older people. Ageing affects every organ in our body, including our skin. As we age, the function of our skin declines; it becomes more fragile, its strength and resilience are reduced and, when challenged, it is less able to repair any damage. T",Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=9CA4E0B4-2108-4C3A-923F-00B1E984E05F,0.1667,Good Fit
PAIR_0219,014CFEB2-3043-440B-973B-8ABD8974DBF3,Kenneth Carslaw,Biomedical & Health,"cancer, diabetes, drug, clinical, biomedical, genomic",https://gtr.ukri.org/person/014CFEB2-3043-440B-973B-8ABD8974DBF3,02F3633C-D09A-40F6-A13C-008DE4798432,PATT Linked Grant for observational astrophysics at QUB: 2016 - 2018,"Our proposal seeks to renew the PATT Linked Grant at Queen's University Belfast. This award will cover our travel and subsistence costs to both STFC and non-STFC observing facilities. The major topics of observational astrophysics research to be covered by the PATT Linked Grant include: 


- investigations of supernovae and the end stages of stellar evolution; 

- high temporal, spatial and spectr",Research Grant,0,Cybersecurity & Computing,https://gtr.ukri.org/projects?ref=02F3633C-D09A-40F6-A13C-008DE4798432,0.0,Bad Fit
PAIR_0289,00549524-FBFA-487B-BCFD-5E09C2330D59,Luc Bussiere,Biology & Life Sciences,"biology, genetics, cell, molecular, microbiology, neuroscience",https://gtr.ukri.org/person/00549524-FBFA-487B-BCFD-5E09C2330D59,12B11A9F-EEC6-4F42-9D0E-002099A6D5D4,C-FORCE: Carbon-Cycle Feedbacks from Response to Carbon Emissions,"The dominant driver of anthropogenic global warming is the increasing amount of the greenhouse gas carbon dioxide in the atmosphere. This is increasing because it is being emitted by the burning of fossil fuel, deforestation and cement making, with only ~45% staying in the atmosphere. The rest is stored in other reservoirs at or near Earth's surface including the ocean, trees, soils, permafrost an",Research Grant,0,Climate & Environment,https://gtr.ukri.org/projects?ref=12B11A9F-EEC6-4F42-9D0E-002099A6D5D4,0.0,Bad Fit
PAIR_0042,00F53268-2492-40BB-9C1B-E3394E229112,Dave Rodger,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/00F53268-2492-40BB-9C1B-E3394E229112,989A034D-6E1D-46D1-A0DF-017521C01D57,STFC Bristol 2015 DTP,"Doctoral Training Partnerships: a range of postgraduate training is funded by the Research Councils. For information on current funding routes, see the common terminology at https://www.ukri.org/apply-for-funding/how-we-fund-studentships/. Training grants may be to one organisation or to a consortia of research organisations. This portal will show the lead organisation only.",Training Grant,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=989A034D-6E1D-46D1-A0DF-017521C01D57,0.0714,Good Fit
PAIR_0268,0066B5FC-8A64-4FF0-9F26-19CCCAEFA2A6,Mark Saunders,Biology & Life Sciences,"biology, genetics, cell, molecular, microbiology, neuroscience",https://gtr.ukri.org/person/0066B5FC-8A64-4FF0-9F26-19CCCAEFA2A6,CC6EB366-D1B6-484C-85F8-0175AA6D0F0B,Integrated Land &amp; Water Management in Floodplains: Experience of Agricultural Flood Defence Schemes in England and Wales,"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Research Grant,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=CC6EB366-D1B6-484C-85F8-0175AA6D0F0B,0.0,Bad Fit
PAIR_0047,00F321B5-04E7-4C82-BA1A-93F5FAC79B20,Christopher Petkov,Biology & Life Sciences,"biology, genetics, cell, molecular, microbiology, neuroscience",https://gtr.ukri.org/person/00F321B5-04E7-4C82-BA1A-93F5FAC79B20,01E6F588-13F6-461E-AEB0-00B2FCEAAFD5,"MUSHFORM: Transforming Spent Mushroom Substrate into High-Performance, Chemical-Free Pulp Moulded Packaging","Imagine if the containers holding your supermarket mushrooms were made from the waste generated growing those same mushrooms. That circular vision is exactly what MUSHFORM aims to prove.

**The Double Problem We're Solving**

UK mushroom farms produce over 100,000 tonnes of delicious mushrooms annually---but create over 500,000 cubic metres of &quot;spent substrate&quot; waste, costing growers &po",Collaborative R&D,0,Engineering & Physics,https://gtr.ukri.org/projects?ref=01E6F588-13F6-461E-AEB0-00B2FCEAAFD5,0.1111,Good Fit
PAIR_0242,01103B71-79AE-4060-AFAD-291F3A9F8ECE,Yonghong Peng,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/01103B71-79AE-4060-AFAD-291F3A9F8ECE,B8F1E626-8F83-402D-B5A4-00671DEA4A05,Museums in the Metaverse,"This project will create a two-sided Museums in the Metaverse platform empowering online visitors to explore vast cultural assets in engaging new ways; enable novice and expert curators to create new content; and explore models of use to support sustainable economic and cultural growth.

Virtual museums can escape the physical and geographical constraints that curtail traditional museums. Those co",Collaborative R&D,0,Social Sciences,https://gtr.ukri.org/projects?ref=B8F1E626-8F83-402D-B5A4-00671DEA4A05,0.0,Bad Fit
PAIR_0081,0056D0F9-7813-4FBF-9FC4-57F49B0BA209,Peter Somogyi,Artificial Intelligence,"machine learning, deep learning, neural, artificial intelligence, computer vision, natural language",https://gtr.ukri.org/person/0056D0F9-7813-4FBF-9FC4-57F49B0BA209,9CA4E0B4-2108-4C3A-923F-00B1E984E05F,Exploring interventions to maintain and prolong healthy skin function for an ageing population,"Life expectancy globally and in the UK has increased and this brings many health-related challenges, including how best to support and maintain health in older people. Ageing affects every organ in our body, including our skin. As we age, the function of our skin declines; it becomes more fragile, its strength and resilience are reduced and, when challenged, it is less able to repair any damage. T",Research Grant,0,Biology & Life Sciences,https://gtr.ukri.org/projects?ref=9CA4E0B4-2108-4C3A-923F-00B1E984E05F,0.0714,Good Fit
PAIR_0240,013D30AF-EA7A-4373-A2EF-8BE82CE5DF44,David Choi,Data Science & Statistics,"data science, statistical, big data, analytics, regression, bayesian",https://gtr.ukri.org/person/013D30AF-EA7A-4373-A2EF-8BE82CE5DF44,0F034CA5-3F91-413D-AC76-01A853C0D890,"Collaborative Doctoral 2010 Grant - The Development of Private Housing in London since 1870: Markets, Innovation and Lifestyles","Doctoral Training Partnerships: a range of postgraduate training is funded by the Research Councils. For information on current funding routes, see the common terminology at https://www.ukri.org/apply-for-funding/how-we-fund-studentships/. Training grants may be to one organisation or to a consortia of research organisations. This portal will show the lead organisation only.",Training Grant,0,Artificial Intelligence,https://gtr.ukri.org/projects?ref=0F034CA5-3F91-413D-AC76-01A853C0D890,0.0,Bad Fit
